状态包ID,状态模板名称,buff伤害动画时间点,buff添加动画时间点,buff动画删除时间点,状态显示名称,是否显示状态图标,状态图标或持续特效,状态挂点,状态伤害特效,状态添加特效,状态消失特效,状态描述,状态类型,概率,生效条件,状态效果ID,数据,同状态ID叠加覆喂规则,状态包结束条件,生效次数,持续回合数M,buff添加特效挂点,buff伤害特效挂点,击中效果提示,
132,吸血9反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.9 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.9
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.9 
 else end",1,1,1,,,3,,
133,10级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 134,1,1,1,,,,,
134,吸血10反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*1 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*1
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*1 
 else end",1,1,1,,,3,,
135,1级吸怒状态,2,2,,,0,,,,,,"给敌方施加反翨buff
加20点怒气",Buff,10000,1,52,data= 137,1,1,1,,,,,
136,1级吸怒,2,2,,,0,,,,,,减少对方20怒气,debuff,10000,2,28,data=-20,1,1,1,,,,,
137,吸怒1反翨状态,1,2,2,,0,,,meffect_13,meffect_37,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,2,28,data=-attacker.changedRage,1,1,1,,1,3,meffect_37,
138,2级吸怒状态,2,2,,,0,,,,,,加40点怒气,Buff,10000,1,52,data= 140,1,1,1,,,,,
139,2级吸怒,2,2,,,0,,,,,,减少对方40怒气,debuff,10000,2,28,data=-40,1,1,1,,,,,
140,吸怒2反翨状态,1,2,2,,0,,,meffect_13,meffect_37,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,2,28,data=-attacker.changedRage,1,1,1,,1,3,meffect_37,
141,3级吸怒状态,2,2,,,0,,,,,,加60点怒气,Buff,10000,1,52,data=143,1,1,1,,,,,
142,3级吸怒,2,2,,,0,,,,,,减少对方60怒气,debuff,10000,2,28,data=-60,1,1,1,,,,,
143,吸怒3反翨状态,1,2,2,,0,,,meffect_13,meffect_37,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,2,28,data=-attacker.changedRage,1,1,1,,1,3,meffect_37,
144,4级吸怒状态,2,2,,,0,,,,,,加80点怒气,Buff,10000,1,52,data= 146,1,1,1,,,,,
145,4级吸怒,2,2,,,0,,,,,,减少对方80怒气,debuff,10000,2,28,data=-80,1,1,1,,,,,
146,吸怒4反翨状态,1,2,2,,0,,,meffect_13,meffect_37,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,2,28,data=-attacker.changedRage,1,1,1,,1,3,meffect_37,
147,5级吸怒状态,2,2,,,0,,,,,,加100点怒气,Buff,10000,1,52,data= 149,1,1,1,,,,,
148,5级吸怒,2,2,,,0,,,,,,减少对方100怒气,debuff,10000,2,28,data=-100,1,1,1,,,,,
149,吸怒5反翨状态,1,2,2,,0,,,meffect_13,meffect_37,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,2,28,data=-attacker.changedRage,1,1,1,,1,3,meffect_37,
150,测试剧毒,3,2,1,剧毒,1,,1,,,,毒的笱思是使目标在角色行动回合结束後掉血,debuff,10000,7,51,data = 1000,1,2,,5|10000,,,,
151,测试魅惑,2,2,1,魅惑,1,,2,,,,魅惑後会攻击己方諃雄,debuff,10000,1,50,,1,2,,2|10000,,,,
152,测试混乱,2,2,1,混乱,1,,2,,,,换乱後随机攻击全体一个諃雄,debuff,10000,1,49,,1,2,,2|10000,,,,
153,测试反翨,2,2,1,鼓舞,1,,,,,,反翨伤害,Buff,10000,2,9,if defender.victim ==10042 then data =-defender.attackSkill*0.5  else   end,1,1,1,,,,,
154,单次无敌,2,2,1,无敌了,1,,,,,,对一次攻击无敌,Buff,10000,3,6,,1,1,1,,,,,
155,吸物小弟,2,2,1,吸物理,1,,,,,,吸收物理伤害,Buff,10000,3,9,if defender.currPhysicalDamage>0 then data=defender.currPhysicalDamage else end,1,1,1,,,,,
156,测试吸物,2,2,1,婄壁,0,,1,,,,物理免疫,Buff,10000,3,3,if defender.currPhysicalDamage>0 then data=1 else data=0 end,1,2,1,,,,,
157,吸必小弟,2,2,1,吸必杀,1,,,,,,吸收必杀伤害,Buff,10000,3,9,if defender.currKillDamage>0 then data=defender.currKillDamage else end,1,1,1,,,,,
158,测试吸必,2,1,1,坚韧,0,,1,,,,必杀免疫,Buff,10000,3,4,if defender.currKillDamage>0 then data=1 else data=0 end,1,2,1,,,,,
159,测试血魔,2,2,1,潼戮,1,,,,,,当杀死一个对手之後，回血,被动,10000,5,9,data=defender.killAttackBase*2,1,1,1,,,,,
160,1级守护,2,2,1,守护,1,beffect_12,1,,beffect_11,,守护，增加0.1免伤倍率,Buff,10000,1,31,data = 5000,1,2,,2|10000,3,,,
161,1级毒咒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,2000,7,51,if defender.currHp * 0.1667 >25000 then data = -25000 else data=-defender.currHp * 0.1667 end,1,2,,3|10000,,1,,
162,2级毒咒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,4000,7,51,data = -defender.currHp * 0.1667,1,2,,3|10000,,1,,
163,3级毒咒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,6000,7,51,data = -defender.currHp * 0.1667,1,2,,3|10000,,1,,
164,4级毒咒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,8000,7,51,data = -defender.currHp * 0.1667,1,2,,3|10000,,1,,
165,5级毒咒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,毒咒是指有概率中的毒,debuff,10000,7,51,data = -defender.currHp * 0.1667,1,2,,3|10000,,1,,
166,1级血路,3,3,,吸血,0,,1,heffect_5,,,1级血路，自己掉血,debuff,10000,7,9,data = -defender.currHp * 0.2,1,1,1,,,2,,
167,2级血路,3,3,,吸血,0,,1,heffect_5,,,2级血路，自己掉血,debuff,10000,7,9,data = -defender.currHp * 0.3,1,1,1,,,2,,
168,3级血路,3,3,,吸血,0,,1,heffect_5,,,3级血路，自己掉血,debuff,10000,7,9,data = -defender.currHp * 0.4,1,1,1,,,2,,
169,4级血路,3,3,,吸血,0,,1,heffect_5,,,4级血路，自己掉血,debuff,10000,7,9,data = -defender.currHp * 0.45,1,1,1,,,2,,
170,5级血路,3,3,,吸血,0,,1,heffect_5,,,5级血路，自己掉血,debuff,10000,7,9,data = -defender.currHp * 0.5,1,1,1,,,2,,
171,1率1回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,2000,1,50,,1,2,,1|10000,,3,,
172,2率1回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,4000,1,50,,1,2,,1|10000,,3,,
173,3率1回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,6000,1,50,,1,2,,1|10000,,3,,
174,4率1回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,8000,1,50,,1,2,,1|10000,,3,,
175,5率1回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,10000,1,50,,1,2,,1|10000,,3,,
176,1率2回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,2000,1,50,,1,2,,2|10000,,3,,
177,2率2回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,4000,1,50,,1,2,,2|10000,,3,,
178,3率2回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,6000,1,50,,1,2,,2|10000,,3,,
179,4率2回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,8000,1,50,,1,2,,2|10000,,3,,
180,5率2回魅惑,2,2,1,魅惑,1,beffect_20,2,beffect_19,,,魅惑後会攻击己方諃雄,debuff,10000,1,50,,1,2,,2|10000,,3,,
181,1率1回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,2000,1,49,,1,2,,1|10000,,3,,
182,2率1回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,4000,1,49,,1,2,,1|10000,,3,,
183,3率1回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,6000,1,49,,1,2,,1|10000,,3,,
184,4率1回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,8000,1,49,,1,2,,1|10000,,3,,
185,5率1回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,10000,1,49,,1,2,,1|10000,,3,,
186,1率2回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,2300,1,49,,1,2,,2|10000,,3,,
187,2率2回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,4000,1,49,,1,2,,2|10000,,3,,
188,3率2回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,6000,1,49,,1,2,,2|10000,,3,,
189,4率2回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,8000,1,49,,1,2,,2|10000,,3,,
190,5率2回混乱,2,2,1,混乱,1,beffect_16,2,beffect_15,,,换乱後随机攻击全体一个諃雄,debuff,10000,1,49,,1,2,,2|10000,,3,,
191,1率1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,2000,1,7,,1,2,,1|10000,,,,
192,2率1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,4000,1,7,,1,2,,1|10000,,,,
193,3率1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,6000,1,7,,1,2,,1|10000,,,,
194,4率1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,8000,1,7,,1,2,,1|10000,,,,
195,5率1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,1|10000,,,,
196,1率2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,2000,1,7,,1,2,,2|10000,,,,
197,2率2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,4000,1,7,,1,2,,2|10000,,,,
198,3率2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,6000,1,7,,1,2,,2|10000,,,,
199,4率2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,8000,1,7,,1,2,,2|10000,,,,
200,5率2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,2|10000,,,,
201,1率3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,2000,1,7,,1,2,,3|10000,,,,
202,2率3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,4000,1,7,,1,2,,3|10000,,,,
203,3率3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,6000,1,7,,1,2,,3|10000,,,,
204,4率3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,8000,1,7,,1,2,,3|10000,,,,
205,5率3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,3|10000,,,,
206,1率1回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续1回合,Buff,2000,1,6,,1,2,,1|10000,3,3,,
207,2率1回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续1回合,Buff,4000,1,6,,1,2,,1|10000,3,3,,
208,3率1回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续1回合,Buff,6000,1,6,,1,2,,1|10000,3,3,,
209,4率1回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续1回合,Buff,8000,1,6,,1,2,,1|10000,3,3,,
210,5率1回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续1回合,Buff,10000,1,6,,1,2,,1|10000,3,3,,
211,1率2回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续2回合,Buff,2000,1,6,,1,2,,2|10000,3,3,,
212,2率2回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续2回合,Buff,4000,1,6,,1,2,,2|10000,3,3,,
213,3率2回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续2回合,Buff,6000,1,6,,1,2,,2|10000,3,3,,
214,4率2回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续2回合,Buff,8000,1,6,,1,2,,2|10000,3,3,,
215,5率2回婄壁,2,2,1,婄壁,1,beffect_10,1,beffect_9,beffect_9,,我是婄壁的技能，持续2回合,Buff,10000,1,6,,1,2,,2|10000,3,3,,
216,1级号令己方,2,2,,号令,0,,2,meffect_13,meffect_37,,加40点怒气,Buff,10000,1,28,data =40,1,1,1,,1,3,meffect_37,
217,1级号令敌方,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方5怒气,debuff,10000,1,28,data=-50,1,1,1,,1,3,meffect_38,
218,2级号令己方,2,2,,号令,0,,2,meffect_13,meffect_37,,加50点怒气,Buff,10000,1,28,data =50,1,1,1,,1,3,meffect_37,
219,2级号令敌方,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方10怒气,debuff,10000,1,28,data=-10,1,1,1,,1,3,meffect_38,
220,3级号令己方,2,2,,号令,0,,2,meffect_13,meffect_37,,加60点怒气,Buff,10000,1,28,data =60,1,1,1,,1,3,meffect_37,
221,3级号令敌方,2,2,1,,0,,1,beffect_21,meffect_38,,减少对方15怒气,debuff,10000,1,28,data=-15,1,1,1,,1,3,meffect_38,
222,1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 20000,1,2,,1|10000,3,,,
223,2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 40000,1,2,,1|10000,3,,,
224,3级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 60000,1,2,,1|10000,3,,,
225,4级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data =80000,1,2,,1|10000,3,,,
226,1级狂暴1,1,2,1,狂暴,1,beffect_14,1,,beffect_13,,物理攻击百分比加成,Buff,10000,1,15,data=2500,1,2,,2|10000,3,,,
227,1级狂暴2,1,2,,,0,,1,,,,必杀攻击百分比加成,Buff,10000,1,18,data=2500,1,2,,2|10000,,,,
228,1级狂暴3,1,2,,,0,,1,,,,魔法攻击百分比加成,Buff,10000,1,21,data=2500,1,2,,2|10000,,,,
229,2级狂暴1,1,3,1,狂暴,1,beffect_14,1,,beffect_13,,物理攻击百分比加成,Buff,10000,1,15,data=3500,1,2,,2|10000,3,,,
230,2级狂暴2,1,3,,,0,,1,,,,必杀攻击百分比加成,Buff,10000,1,18,data=3500,1,2,,2|10000,,,,
231,2级狂暴3,1,3,,,0,,1,,,,魔法攻击百分比加成,Buff,10000,1,21,data=3500,1,2,,2|10000,,,,
232,1级守护1,1,2,1,守护,1,beffect_12,1,,beffect_11,,物理防御百分比加成,Buff,10000,1,53,data=2000,1,2,,2|10000,3,,,
233,1级守护2,1,2,,,0,,1,,,,必杀防御百分比加成,Buff,10000,1,54,data=2000,1,2,,2|10000,,,,
234,1级守护3,1,2,,,0,,1,,,,魔法防御百分比加成,Buff,10000,1,55,data=2000,1,2,,2|10000,,,,
235,2级守护1,1,2,1,守护,1,beffect_12,1,,beffect_11,,物理防御百分比加成,Buff,10000,1,53,data=2000,1,2,,2|10000,3,,,
236,2级守护2,1,2,,,0,,1,,,,必杀防御百分比加成,Buff,10000,1,54,data=2000,1,2,,2|10000,,,,
237,2级守护3,1,2,,,0,,1,,,,魔法防御百分比加成,Buff,10000,1,55,data=2000,1,2,,2|10000,,,,
238,1率1回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,2000,1,30,data = 5000,1,2,,1|10000,3,,,
239,2率1回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,4000,1,30,data = 5000,1,2,,1|10000,3,,,
240,3率1回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,6000,1,30,data = 5000,1,2,,1|10000,3,,,
241,4率1回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,8000,1,30,data = 5000,1,2,,1|10000,3,,,
242,5率1回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 5000,1,2,,1|10000,3,,,
243,1率2回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,2000,1,30,data = 5000,1,2,,2|10000,3,,,
244,2率2回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,4000,1,30,data = 5000,1,2,,2|10000,3,,,
245,3率2回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,6000,1,30,data = 5000,1,2,,2|10000,3,,,
246,4率2回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,8000,1,30,data = 5000,1,2,,2|10000,3,,,
247,5率2回1级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 5000,1,2,,2|10000,3,,,
248,1率1回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,2000,1,30,data = 20000,1,2,,1|10000,3,,,
249,2率1回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,4000,1,30,data = 20000,1,2,,1|10000,3,,,
250,3率1回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,6000,1,30,data = 20000,1,2,,1|10000,3,,,
251,4率1回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,8000,1,30,data = 20000,1,2,,1|10000,3,,,
252,5率1回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 20000,1,2,,1|10000,3,,,
253,1率2回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,2000,1,30,data = 20000,1,2,,2|10000,3,,,
254,2率2回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,4000,1,30,data = 20000,1,2,,2|10000,3,,,
255,3率2回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,6000,1,30,data = 20000,1,2,,2|10000,3,,,
256,4率2回2级暴击,2,2,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,8000,1,30,data = 20000,1,2,,2|10000,3,,,
257,5率2回2级暴击,2,3,1,狙击,1,beffect_6,1,,beffect_5,,,Buff,10000,1,30,data = 20000,1,2,,2|10000,3,,,
258,1率2回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,2000,7,56,data = -defender.currHp * 0.2,1,2,,2|10000,,,,
259,2率2回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,4000,7,56,if defender.currHp * 0.2>25000 then data=-25000 else data = -defender.currHp * 0.2 end,1,2,,2|10000,,,,
260,3率2回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,6000,7,56,data = -defender.currHp * 0.2,1,2,,2|10000,,,,
261,4率2回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,8000,7,56,data = -defender.currHp * 0.2,1,2,,2|10000,,,,
262,5率2回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,10000,7,56,data = -defender.currHp * 0.2,1,2,,2|10000,,,,
263,1率3回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,2000,7,56,data = -defender.currHp * 0.2,1,2,,3|10000,,,,
264,2率3回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,4000,7,56,data = -defender.currHp * 0.2,1,2,,3|10000,,,,
265,3率3回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,6000,7,56,data = -defender.currHp * 0.2,1,2,,3|10000,,,,
266,4率3回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,8000,7,56,data = -defender.currHp * 0.2,1,2,,3|10000,,,,
267,5率3回1级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,10000,7,56,data = -defender.currHp * 0.2,1,2,,3|10000,,,,
268,1率2回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,2000,7,56,data = -defender.currHp * 0.25,1,2,,2|10000,,,,
269,2率2回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,4000,7,56,data = -defender.currHp * 0.25,1,2,,2|10000,,,,
270,3率2回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,6000,7,56,data = -defender.currHp * 0.25,1,2,,2|10000,,,,
271,4率2回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,8000,7,56,data = -defender.currHp * 0.25,1,2,,2|10000,,,,
272,5率2回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,10000,7,56,data = -defender.currHp * 0.25,1,2,,2|10000,,,,
273,1率3回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,2000,7,56,data = -defender.currHp * 0.25,1,2,,3|10000,,,,
274,2率3回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,4000,7,56,data = -defender.currHp * 0.25,1,2,,3|10000,,,,
275,3率3回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,6000,7,56,data = -defender.currHp * 0.25,1,2,,3|10000,,,,
276,4率3回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,8000,7,56,data = -defender.currHp * 0.25,1,2,,3|10000,,,,
277,5率3回2级灼褗,3,2,1,剧毒,1,beffect_23,1,,,,毒咒是指有概率中的毒,debuff,10000,7,56,data = -defender.currHp * 0.25,1,2,,3|10000,,,,
278,1率1级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,2000,1,52,data = 116,1,1,1,,,3,,
279,2率1级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,4000,1,52,data = 116,1,1,1,,,3,,
280,3率1级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,6000,1,52,data = 116,1,1,1,,,3,,
281,4率1级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,8000,1,52,data = 116,1,1,1,,,3,,
282,5率1级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,10000,1,52,data = 116,1,1,1,,,3,,
283,1率2级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,2000,1,52,data = 118,1,1,1,,,3,,
284,2率2级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,4000,1,52,data = 118,1,1,1,,,3,,
285,3率2级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,6000,1,52,data = 118,1,1,1,,,3,,
286,4率2级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,8000,1,52,data = 118,1,1,1,,,3,,
287,5率2级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,10000,1,52,data = 118,1,1,1,,,3,,
288,1率3级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,2000,1,52,data = 120,1,1,1,,,3,,
289,2率3级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,4000,1,52,data = 120,1,1,1,,,3,,
290,3率3级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,6000,1,52,data = 120,1,1,1,,,3,,
291,4率3级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,8000,1,52,data = 120,1,1,1,,,3,,
292,5率3级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,10000,1,52,data = 120,1,1,1,,,3,,
293,1率4级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,2000,1,52,data = 122,1,1,1,,,3,,
294,2率4级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,4000,1,52,data = 122,1,1,1,,,3,,
295,3率4级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,6000,1,52,data = 122,1,1,1,,,3,,
296,4率4级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,8000,1,52,data = 122,1,1,1,,,3,,
297,5率4级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,10000,1,52,data = 122,1,1,1,,,3,,
298,1率5级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,2000,1,52,data = 124,1,1,1,,,3,,
299,2率5级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,4000,1,52,data = 124,1,1,1,,,3,,
300,3率5级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,6000,1,52,data = 124,1,1,1,,,3,,
301,4率5级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,8000,1,52,data = 124,1,1,1,,,3,,
302,5率5级吸血,2,2,,吸血,0,,1,meffect_12,,,我是吸血的技能,Buff,10000,1,52,data = 124,1,1,1,,,3,,
303,5率鼓舞10气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加10点怒气,Buff,10000,1,28,data =10,1,1,1,,1,3,meffect_37,
304,5率鼓舞15气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加15点怒气,Buff,10000,1,28,data =15,1,1,1,,1,3,meffect_37,
305,5率鼓舞20气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加20点怒气,Buff,10000,1,28,data =20,1,1,1,,1,3,meffect_37,
306,5率鼓舞25气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加25点怒气,Buff,10000,1,28,data =25,1,1,1,,1,3,meffect_37,
307,5率鼓舞30气,2,2,,鼓舞,0,,2,meffect_13,meffect_37,,加30点怒气,Buff,10000,1,28,data =30,1,1,1,,1,3,meffect_37,
